field_id,county,area_acres,ndvi_min,ndvi_max,ndvi_mean,pixels,source
osm-260949778,Guilford,768.0452272098436,-0.0116,0.4382,0.2387,2074,
osm-1153259427,,,0.1553468257188797,0.6010928750038147,0.4011145532131195,24823,sentinel2
osm-813157720,,,-0.0314579457044601,0.5051981806755066,0.1958672404289245,7181,sentinel2
osm-1305439648,,,0.0617372319102287,0.4194162487983703,0.1625407040119171,7457,sentinel2
osm-1386621285,,,0.1360615938901901,0.347600519657135,0.2324409335851669,8150,sentinel2
osm-1133139440,,,0.0788269862532615,0.4809368550777435,0.1173555627465248,5356,sentinel2
osm-1476971106,,,0.1695695966482162,0.5425131320953369,0.3752744793891907,5415,sentinel2
osm-834363677,,,0.1043449714779853,0.3401885032653808,0.1342524588108062,5842,sentinel2
osm-548794709,,,0.0747964978218078,0.4847750961780548,0.2989668548107147,3783,sentinel2
osm-199889806,,,0.0922347009181976,0.4652197062969208,0.2098316997289657,3679,sentinel2
