field_id,year,growing_season,mean_temp,total_precip,total_solar,total_gdd,max_gdd_cumulative
osm-1153259427,2020,True,23.5381045751634,663.06,3117.31,2113.51,2487.27
osm-1153259427,2021,True,24.25581699346405,440.02,3225.13,2229.3,5391.48
osm-1153259427,2022,True,24.968496732026143,476.79,3210.75,2352.195,8529.38
osm-1153259427,2023,True,24.079477124183004,437.45,3145.44,2207.14,11430.275
osm-1153259427,2024,True,24.720784313725492,799.54,3165.77,2291.155,14436.16
osm-1305439648,2020,True,22.11202614379085,782.4,3104.34,1849.9,2092.55
osm-1305439648,2021,True,23.274575163398694,472.23,3246.93,2042.345,4610.89
osm-1305439648,2022,True,23.754248366013073,583.65,3203.96,2121.34,7322.005
osm-1305439648,2023,True,22.65169934640523,516.91,3159.12,1947.105,9762.175
osm-1305439648,2024,True,23.85,775.34,3129.39,2132.08,12444.6
osm-1386621285,2020,True,22.11202614379085,782.4,3104.34,1849.9,2092.55
osm-1386621285,2021,True,23.274575163398694,472.23,3246.93,2042.345,4610.89
osm-1386621285,2022,True,23.754248366013073,583.65,3203.96,2121.34,7322.005
osm-1386621285,2023,True,22.65169934640523,516.91,3159.12,1947.105,9762.175
osm-1386621285,2024,True,23.85,775.34,3129.39,2132.08,12444.6
osm-260949778,2020,True,22.696601307189542,727.34,3096.46,1970.03,2258.82
osm-260949778,2021,True,23.453986928104577,501.43,3194.78,2095.33,4890.21
osm-260949778,2022,True,24.130849673202615,520.81,3174.86,2210.845,7736.88
osm-260949778,2023,True,23.041830065359477,500.24,3089.27,2030.3700000000001,10334.545
osm-260949778,2024,True,23.980718954248367,814.36,3114.16,2169.11,13080.285
osm-813157720,2020,True,22.64875816993464,764.8100000000001,3142.93,1943.025,2202.81
osm-813157720,2021,True,23.4740522875817,495.74,3191.28,2081.41,4787.32
osm-813157720,2022,True,24.182287581699345,523.37,3215.33,2203.95,7610.145
osm-813157720,2023,True,22.90424836601307,549.1,3083.41,1991.99,10131.565
osm-813157720,2024,True,23.870392156862746,781.05,3094.42,2136.93,12792.48
