field_id,county_name,area_acres,lat,lon,mukey_count,drainage_primary,om_mean,om_min,om_max,ph_mean,ph_min,ph_max,awc_mean,clay_mean,sand_mean,cec_mean,ndvi_min,ndvi_max,ndvi_mean,ndvi_count,ndvi_std,ndvi_median,temp_mean,temp_max_mean,temp_min_mean,precip_total,precip_days,gdd_total,solar_total,years
osm-1476971106,Alamance,137.73638401970203,35.878028023927385,-79.44565035637069,8,Well drained,0.9,0.1,3.5,5.32,4.5,6.7,0.16,34.41,30.56,17.51,0.16956959664821625,0.5425131320953369,0.3752929413850878,5353.0,0.06509495916667643,0.38580644130706787,22.04,28.07,16.38,3530.29,698,11230.0,18900.12,5
osm-1009084804,Anson,44.58422830114782,34.815988309590686,-80.31798399705528,7,Moderately well drained,0.74,0.1,1.25,5.26,4.7,5.8,0.16,23.25,38.71,8.82,,,,,,,22.92,29.16,17.22,3319.21,710,12086.14,19046.7,5
osm-588414811,Cabarrus,67.71265347157117,35.395088419688705,-80.69174372160035,4,Well drained,1.03,0.25,3.5,5.95,5.5,6.8,0.15,29.84,39.73,12.49,,,,,,,22.34,27.94,16.85,3458.45,720,11374.4,18970.09,5
osm-976134461,Chatham,59.076291662039026,35.85426473614288,-79.00290754012225,5,Moderately well drained,1.04,0.1,3.5,5.06,4.5,6.0,0.15,20.87,53.54,10.3,,,,,,,22.43,28.78,16.73,3627.53,707,11688.34,18900.12,5
osm-548794709,Cumberland,99.31066640732776,35.01956500826291,-79.06788610754336,2,Poorly drained,2.98,0.25,11.5,4.92,4.5,5.3,0.14,10.12,68.26,9.62,0.07479649782180786,0.4847750961780548,0.2987934992863582,3744.0,0.04660055131100703,0.30499982833862305,23.46,29.17,18.01,3540.6,743,12418.4,18900.12,5
osm-1305439648,Davidson,192.3801557099146,35.83642787252288,-80.47926939275054,6,Well drained,1.05,0.25,2.75,5.09,4.5,6.0,0.15,24.56,44.7,7.52,0.06849316507577896,0.41941624879837036,0.162221698253327,7364.0,0.0584262251708962,0.13719654083251953,21.67,27.34,16.08,3602.99,751,10774.96,18970.09,5
osm-566823123,Davie,22.595802332765924,35.961620078862005,-80.68736566829163,2,Well drained,0.63,0.25,1.25,5.59,5.0,6.3,0.13,37.13,43.25,6.15,,,,,,,21.67,27.34,16.08,3602.99,751,10774.96,18970.09,5
osm-1278239614,Forsyth,35.99310970138618,36.15037642136539,-80.35255487452807,5,Well drained,1.31,0.25,3.5,5.38,4.5,6.4,0.15,18.58,54.31,8.83,,,,,,,21.67,27.34,16.08,3602.99,751,10774.96,18558.32,5
osm-1103713058,Franklin,54.453613692108725,36.098230278776946,-78.40504566355534,4,Well drained,0.79,0.25,2.0,5.26,5.0,6.0,0.13,22.3,56.73,5.63,,,,,,,22.7,28.66,17.17,3606.29,706,11819.24,18750.84,5
osm-274848457,Granville,63.97011468078685,36.03368324183967,-78.57140815431667,5,Well drained,0.67,0.25,1.25,5.32,4.5,6.4,0.12,29.15,48.53,4.25,,,,,,,22.43,28.78,16.73,3627.53,707,11688.34,18750.84,5
osm-260949778,Guilford,768.0452272098436,36.142687773246635,-79.55177292644629,13,Well drained,1.04,0.1,3.5,5.89,5.0,6.7,0.15,27.75,44.71,12.57,0.014523797668516636,0.4317355751991272,0.23938657667873778,1892.0,0.07509529974923994,0.2528074383735657,22.04,28.07,16.38,3530.29,698,11230.0,18694.29,5
osm-1133139440,Hoke,144.38814738740507,34.93252077514599,-79.25613268286425,6,Well drained,2.39,0.25,11.5,4.84,4.5,5.3,0.12,9.42,73.58,15.16,0.07882698625326157,0.48093685507774353,0.1167719267935449,5302.0,0.024783335891768853,0.11314573884010315,23.46,29.17,18.01,3540.6,743,12418.4,19021.65,5
osm-1435108796,Iredell,90.72704742859342,35.75669700578346,-80.7652829103909,8,Well drained,0.76,0.25,2.5,5.88,4.9,7.0,0.15,31.26,41.43,11.62,,,,,,,21.67,27.34,16.08,3602.99,751,10774.96,18970.09,5
osm-1424677694,Lee,26.477568177859776,35.42285337134067,-79.07254263961899,5,Well drained,0.96,0.1,3.5,5.18,4.2,6.1,0.1,12.59,68.04,7.02,,,,,,,22.79,29.03,17.13,3479.44,707,11980.81,18900.12,5
osm-692623518,Montgomery,4.43630187338118,35.174524685568514,-79.71998218829866,3,Poorly drained,2.93,0.25,14.0,4.93,4.6,5.5,0.08,7.57,75.4,9.08,,,,,,,23.37,29.65,17.68,3466.73,713,12497.24,18900.12,5
osm-199889806,Moore,98.41412723185219,35.32992361046727,-79.55096011778777,5,Well drained,0.89,0.1,2.5,4.88,4.5,5.3,0.17,23.68,24.16,9.35,0.09223470091819763,0.4652197062969208,0.20857187542996697,3634.0,0.05624653635686077,0.19352087378501892,22.79,29.03,17.13,3479.44,707,11980.81,18900.12,5
osm-813157720,Person,194.98990106849277,36.344243560788456,-78.91601941343251,7,Well drained,1.05,0.1,3.5,5.39,4.5,7.0,0.17,25.09,29.48,9.39,-0.031457945704460144,0.5051981806755066,0.19494459102105874,7117.0,0.07227899904882976,0.1718136966228485,21.96,27.84,16.26,3548.11,715,11072.7,18750.84,5
osm-834363677,Randolph,132.82942591452476,35.861819097150494,-79.6284159677509,7,Well drained,0.68,0.25,2.0,5.82,4.9,6.8,0.15,29.08,44.58,12.05,0.10434497147798538,0.34018850326538086,0.13349745595331422,5780.0,0.02303601746156905,0.12713325023651123,22.04,28.07,16.38,3530.29,698,11230.0,18900.12,5
osm-1361967329,Rockingham,74.8117758509528,36.249858571806826,-79.535183367683,7,Well drained,0.8,0.25,2.5,5.56,4.8,7.0,0.14,33.59,41.46,11.48,,,,,,,22.04,28.07,16.38,3530.29,698,11230.0,18694.29,5
osm-1386621285,Rowan,187.20919849066715,35.75135066916895,-80.69834092029282,6,Well drained,0.85,0.25,3.5,5.93,5.4,6.8,0.15,29.41,41.28,10.85,0.13943219184875488,0.347600519657135,0.23264527874228394,8100.0,0.024241164140930437,0.2351718544960022,21.67,27.34,16.08,3602.99,751,10774.96,18970.09,5
osm-1383475117,Stanly,13.188965018998118,35.270988764915415,-80.35559599567675,3,Well drained,0.72,0.1,1.25,5.22,5.0,5.8,0.15,27.0,20.03,9.62,,,,,,,22.34,27.94,16.85,3458.45,720,11374.4,18970.09,5
osm-1153259427,Union,617.7728612766778,34.870040121660494,-80.50301534881869,8,Well drained,0.83,0.1,3.5,4.8,4.5,5.5,0.14,24.55,24.0,8.05,0.1553468257188797,0.6010928750038147,0.4013285008135257,24738.0,0.058372807001113865,0.40833818912506104,22.92,29.16,17.22,3319.21,710,12086.14,19046.7,5
osm-1197040178,Yadkin,21.99566124837873,36.18801344115139,-80.60093210237545,5,Well drained,0.77,0.25,2.0,5.33,4.5,6.3,0.13,30.9,46.24,5.98,,,,,,,21.67,27.34,16.08,3602.99,751,10774.96,18558.32,5
