category,trait,count,mean,std,min,25%,50%,75%,max,median
soil,avg_om_pct,23.0,0.9448608695652174,0.36135936374037114,0.6025,0.75075,0.8204,0.94285,2.1799,0.8204
soil,avg_ph,23.0,5.424734782608696,0.3870070114571519,4.8132,5.2231,5.3138,5.6785499999999995,6.0823,5.3138
soil,avg_cec,23.0,8.490673913043478,2.891687916836713,2.9318,6.60675,8.9283,10.523399999999999,13.2242,8.9283
soil,avg_clay_pct,23.0,24.864234782608698,8.791921861035469,5.1036,21.915100000000002,25.1523,30.4015,37.082,25.1523
soil,avg_sand_pct,23.0,46.205400000000004,16.923631101832402,20.3156,36.599000000000004,45.4168,51.930099999999996,88.3069,45.4168
soil,avg_bulk_density,23.0,1.4470521739130433,0.07637163841472958,1.3296,1.3991500000000001,1.4419,1.47125,1.6377,1.4419
soil,total_aws_inches,23.0,4.365217391304348,2.2262930248309787,0.88,2.88,3.85,5.645,8.96,3.85
rotation,crop_diversity,23.0,2.260869565217391,0.619192384874173,1.0,2.0,2.0,3.0,3.0,2.0
rotation,corn_years,23.0,0.9130434782608695,1.2399795994751786,0.0,0.0,0.0,2.0,4.0,0.0
rotation,soybean_years,23.0,1.2608695652173914,1.5438261590885693,0.0,0.0,1.0,2.5,5.0,1.0
